specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 13265,Bovidae,Damaliscus Dorcas Dorcas,Damaliscus pygargus,,,,,4.568,5.52,5.33,6.662,7.804,6.665,8.949,8.566,8.756,10.661,10.66,10.281,8.949,9.137,8.758
FMNH 13266,Bovidae,Damaliscus Dorcas Dorcas,Damaliscus pygargus,,6.476,6.479,5.905,7.078,7.238,7.431,7.429,7.238,7.429,8.383,8.571,8.381,9.716,9.905,9.143,10.287,10.859,10.476
FMNH 34566,Bovidae,Damaliscus dorcas phillipsi,Damaliscus pygargus,,6.908,6.908,7.206,7.3,7.692,7.692,7.339,7.588,7.214,9.328,9.083,9.454,9.701,10.572,9.701,9.328,8.955,9.4547
FMNH 35111,Bovidae,Damaliscus hunteri,Beatragus hunteri,,7.898,8.079,7.898,9.234,9.033,8.86,8.4752,8.988,8.554,11.683,11.651,11.659,11.719,10.973,11.532,9.047,8.83,9.016
FMNH 34605,Bovidae,Hippotragus niger niger ,Hippotragus niger,,7.315,7.127,7.502,8.442,8.815,8.44,10.564,10.505,9.957,12.005,12.017,12.568,12.942,12.942,12.568,13.141,13.318,13.504
FMNH 34517,Bovidae,Hippotragus niger niger ,Hippotragus niger,,8.955,8.395,8.771,10.03,9.098,9.595,13.247,14.179,14.093,12.688,12.708,12.313,15.52,14.87,15.024,15.34,15.672,16.046
FMNH 98111,Bovidae,Hippotragus niger niger,Hippotragus niger,,10.408,10.408,10.408,11.373,11.372,11.372,12.276,12.007,12.439,13.034,13.174,13.423,13.299,14.07,12.264,14.653,14.455,14.649
FMNH 20764,Bovidae,Kobus Kob thomasi,Kobus kob,,5.512,5.294,5.483,7.712,7.864,7.647,8.827,10.234,9.495,8.878,9.389,8.888,10.675,10.75,10.577,9.679,10.232,9.566
FMNH 41660,Bovidae,Kobus vardoni vardoni,Kobus vardoni,,4.462,4.59,4.462,5.997,5.61,5.877,6.432,6.62,6.777,9.434,9.758,9.308,9.817,9.817,9.583,11.474,11.219,11.347
FMNH 104802,Cervidae,Muntiacus reevesi,Muntiacus reevesi,,4.22,4.45,4.108,4.337,4.564,4.792,5.477,4.794,5.135,6.504,6.504,6.276,6.961,6.846,6.732,7.078,1.189,6.732
