,occurrences.order_name,occurrences.family_name,occurrences.parent_name,occurrences.genus_name,taxon,reg,,
170,Artiodactyla,Camelidae,Lamini,Hemiauchenia,Hemiauchenia gracilis,ruminantia,,
171,Artiodactyla,Camelidae,Lamini,Hemiauchenia,Hemiauchenia macrocephala,ruminantia,,
172,Artiodactyla,Camelidae,Lamini,Hemiauchenia,Hemiauchenia minima,ruminantia,,
173,Artiodactyla,Camelidae,Lamini,Hemiauchenia,Hemiauchenia vera,ruminantia,,
162,Artiodactyla,Camelidae,Miolabinae,Capricamelus,Capricamelus gettyi,ruminantia,,
183,Artiodactyla,Camelidae,Miolabinae,Miolabis,Miolabis californicus,ruminantia,,
184,Artiodactyla,Camelidae,Miolabinae,Miolabis,Miolabis fissidens,ruminantia,,
185,Artiodactyla,Camelidae,Miolabinae,Miolabis,Miolabis fricki,ruminantia,,
186,Artiodactyla,Camelidae,Miolabinae,Miolabis,Miolabis longiceps,ruminantia,,
194,Artiodactyla,Camelidae,Miolabinae,Nothotylopus,Nothotylopus camptognathus,ruminantia,,
203,Artiodactyla,Camelidae,Miolabinae,Paramiolabis,Paramiolabis singularis,ruminantia,,
204,Artiodactyla,Camelidae,Miolabinae,Paramiolabis,Paramiolabis taylori,ruminantia,,
205,Artiodactyla,Camelidae,Miolabinae,Paramiolabis,Paramiolabis tenuis,ruminantia,,
188,Artiodactyla,Camelidae,Stenomylinae,Miotylopus,Miotylopus gibbi,ruminantia,,
189,Artiodactyla,Camelidae,Stenomylinae,Miotylopus,Miotylopus leonardi,ruminantia,,
190,Artiodactyla,Camelidae,Stenomylinae,Miotylopus,Miotylopus taylori,ruminantia,,
220,Artiodactyla,Camelidae,Stenomylinae,Pseudolabis,Pseudolabis dakotensis,ruminantia,,
156,Artiodactyla,Camelidae,Stenomylini,Blickomylus,Blickomylus galushai,ruminantia,,
221,Artiodactyla,Camelidae,Stenomylini,Rakomylus,Rakomylus raki,ruminantia,,
222,Artiodactyla,Camelidae,Stenomylini,Stenomylus,Stenomylus gracilis,ruminantia,,
223,Artiodactyla,Camelidae,Stenomylini,Stenomylus,Stenomylus hitchcocki,ruminantia,,
224,Artiodactyla,Camelidae,Stenomylini,Stenomylus,Stenomylus keelinensis,ruminantia,,
225,Artiodactyla,Camelidae,Stenomylini,Stenomylus,Stenomylus taylori,ruminantia,,
228,Artiodactyla,Camelidae,Stenomylini,Wyomylus,Wyomylus whitei,ruminantia,,
168,Artiodactyla,Camelidae,,Gentilicamelus,Gentilicamelus sternbergi,ruminantia,,
230,Artiodactyla,Cervidae,Cervidae,Bretzia,Bretzia pseudalces,ruminantia,,
245,Artiodactyla,Dichobunidae,Bunomerycini,Bunomeryx,Bunomeryx montanus,ungulate,,
259,Artiodactyla,Dichobunidae,Bunomerycini,Mytonomeryx,Mytonomeryx scotti,ungulate,,
261,Artiodactyla,Dichobunidae,Bunomerycini,Pentacemylus,Pentacemylus leotensis,ungulate,,
262,Artiodactyla,Dichobunidae,Bunomerycini,Pentacemylus,Pentacemylus progressus,ungulate,,
246,Artiodactyla,Dichobunidae,Diacodexeinae,Bunophorus,Bunophorus etsagicus,ungulate,,
247,Artiodactyla,Dichobunidae,Diacodexeinae,Bunophorus,Bunophorus grangeri,ungulate,,
249,Artiodactyla,Dichobunidae,Diacodexeinae,Bunophorus,Bunophorus macropternus,ungulate,,
250,Artiodactyla,Dichobunidae,Diacodexeinae,Bunophorus,Bunophorus pattersoni,ungulate,,
251,Artiodactyla,Dichobunidae,Diacodexeinae,Bunophorus,Bunophorus robustus,ungulate,,
252,Artiodactyla,Dichobunidae,Diacodexeinae,Bunophorus,Bunophorus sinclairi,ungulate,,
260,Artiodactyla,Dichobunidae,Diacodexeinae,Neodiacodexis,Neodiacodexis emryi,ungulate,,
263,Artiodactyla,Dichobunidae,Diacodexeinae,Tapochoerus,Tapochoerus egressus,ungulate,,
264,Artiodactyla,Dichobunidae,Diacodexeinae,Tapochoerus,Tapochoerus mcmillini,ungulate,,
255,Artiodactyla,Dichobunidae,Homacodontinae,Hylomeryx,Hylomeryx annectens,ungulate,,
256,Artiodactyla,Dichobunidae,Homacodontinae,Hylomeryx,Hylomeryx quadricuspis,ungulate,,
257,Artiodactyla,Dichobunidae,Homacodontinae,Mesomeryx,Mesomeryx grangeri,ungulate,,
243,Artiodactyla,Dichobunidae,Homacodontini,Auxontodon,Auxontodon pattersoni,ungulate,,
244,Artiodactyla,Dichobunidae,Homacodontini,Auxontodon,Auxontodon processus,ungulate,,
254,Artiodactyla,Dichobunidae,Homacodontini,Homacodon,Homacodon vagans,ungulate,,
258,Artiodactyla,Dichobunidae,Homacodontini,Microsus,Microsus cuspidatus,ungulate,,
265,Artiodactyla,Dichobunidae,Homacodontini,Texodon,Texodon meridianus,ungulate,,
266,Artiodactyla,Entelodontidae,Entelodontidae,Boochoerus,Boochoerus angustus,ungulate,,
267,Artiodactyla,Entelodontidae,Entelodontidae,Choerodon,Choerodon caninus,ungulate,,
268,Artiodactyla,Entelodontidae,Entelodontidae,Dinohyus,Dinohyus hollandi,ungulate,,
269,Artiodactyla,Entelodontidae,Entelodontidae,Megachoerus,Megachoerus latidens,ungulate,,
270,Artiodactyla,Entelodontidae,Entelodontidae,Megachoerus,Megachoerus zygomaticus,ungulate,,
271,Artiodactyla,Gelocidae,Pseudoceratinae,Floridameryx,Floridameryx floridanus,ruminantia,,
272,Artiodactyla,Gelocidae,Pseudoceratinae,Floridameryx,Floridameryx klausi,ruminantia,,
273,Artiodactyla,Gelocidae,Pseudoceratinae,Pseudoceras,Pseudoceras skinneri,ruminantia,,
274,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypertragulus,Hypertragulus calcaratus,ruminantia,,
275,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypertragulus,Hypertragulus chadronensis,ruminantia,,
276,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypertragulus,Hypertragulus crawfordensis,ruminantia,,
277,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypertragulus,Hypertragulus heikeni,ruminantia,,
278,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypertragulus,Hypertragulus hesperius,ruminantia,,
279,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypertragulus,Hypertragulus quadratus,ruminantia,,
280,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypertragulus,Hypertragulus sequens,ruminantia,,
281,Artiodactyla,Hypertragulidae,Hypertragulidae,Hypisodus,Hypisodus alacer,ruminantia,,
