specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 153729,Bovidae,Bison bonasus,Bison bonasus,Male,12.693,12.687,12.33,19.395,19.379,19.024,22.02,22.194,22,25.888,26.118,25.701,29.663,29.229,30.099,40.43,39.982,40.051
FMNH 21374,Cervidae,Blastocerus dichotomus,Blastocerus dichotomus,Male,10.153,10.376,10.226,13.288,13.219,13.432,14.486,14.899,14.521,15.201,15.39,15.16,16.383,16.722,16.217,23.092,23.124,23.243
FMNH 26554,Cervidae,Blastocerus dichotomus,Blastocerus dichotomus,Male,10.424,10.518,10.248,12.533,12.575,12.388,13.511,13.79,13.881,15.705,16.005,16.145,17.674,17.13,17.333,23.335,23.308,22.987
FMNH 28279,Cervidae,Blastocerus dichotomus,Blastocerus dichotomus,Male,9.946,9.566,9.946,12.078,12.335,12.278,12.859,12.853,12.743,14.74,14.74,14.75,15.522,15.355,15.644,21.791,21.694,21.77
FMNH 28282,Cervidae,Blastocerus dichotomus,Blastocerus dichotomus,Male,11.143,11.192,11.343,12.344,12.344,12.314,13.659,13.544,13.686,16.191,16.191,15.945,16.594,16.433,16.246,23.995,24.038,24.072
FMNH 34012,Bovidae,Bos bantena bermanicus,Bos javanicus,Male,14.107,14.404,14.285,22.188,21.97,21.588,23.226,23.226,23.127,22.65,22.418,22.65,25.003,25.258,25.246,42.182,42.22,42.252
FMNH 31705,Bovidae,Bos javanicus,Bos javanicus,Male,16.211,15.906,15.498,18.884,19.074,18.993,24.302,24.155,23.985,26.17,26.17,26.41,30.289,30.619,30.04,40.914,40.375,40.867
FMNH 44338,Bovidae,Bos javanicus,Bos javanicus,Male,16.546,16.586,16.52,22.818,23.207,22.956,23.322,23.363,23.85,24.914,24.682,24.182,29.993,29.525,29.76,41.908,42.362,42.135
FMNH 25697,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Female,11.543,11.543,11.722,15.946,15.951,15.781,18.037,17.412,17.798,22.516,22.3,22.319,28.78,28.414,28.594,35.302,34.916,34.96
FMNH 25719,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Male,12.866,12.751,13.04,14.166,14.765,14.733,15.001,15.071,14.918,16.712,17.245,17.355,22.421,21.88,22.642,33.986,34.265,33.932
FMNH 91223,Bovidae,Boselaphus tragocamelus,Boselaphus tragocamelus,Female,13.209,13.128,12.999,15.116,15.446,15.367,15.786,15.543,15.382,18.803,18.882,18.958,22.522,22.684,22.4,31.765,31.71,31.549
